Shear-Relative Angle,Low-Level Mean Flow-Relative Angle,Updraft Depth,Updraft Bottom Altitude,Updraft Top Altitude,Upraft Vertical Velocity,Circulation Classification,Updraft Radius,Updraft Normalized Radius
49.24349,179.5136,10,0,10,3.398345,2,17.05155,0.6558289
109.7356,240.0057,9,2,11,1.666658,3,72.76031,2.798474
169.2317,299.5019,2,2,4,2.23,1,11.6619,0.4485348
303.1565,73.42667,1.5,2,3.5,1.532963,1,36.80459,1.415561
116.4712,246.7413,1.5,4,5.5,1.601053,1,81.4681,3.133389
65.21582,195.486,2,7,9,1.674,2,25.45585,0.979071
107.3874,237.6575,3,9,12,1.771532,2,23.14386,0.8901486
34.47065,126.8358,13.5,0,13.5,3.116786,1,25.75693,0.7575566
185.0211,277.3863,3.5,0,3.5,2.6,NaN,2.661786,0.07828781
347.1184,79.48358,2,1,3,2.408096,3,67.01407,1.971002
274.9321,7.297302,2.5,1.5,4,2.267586,2,27.94639,0.8219527
15.19098,107.5562,1.5,1.5,3,2.48125,1,74.47554,2.190457
321.4975,53.86267,5.5,1.5,7,2.440164,2,87.22817,2.565535
174.8024,267.1675,1.5,2,3.5,2.2625,4,91.265,2.684265
181.1525,273.5177,2,2,4,2.755833,1,71.75639,2.110482
317.6021,49.96729,2.5,2,4.5,2.323529,2,52.26738,1.537276
336.936,69.30115,3,2,5,2.22,2,75.62286,2.224202
203.586,295.9512,4,2,6,2.866957,1,47.73939,1.4041
296.8721,29.2373,5.5,2.5,8,3.479091,1,33.43275,0.9833161
345.2245,77.58966,3,2.5,5.5,2.353816,2,97.89536,2.879275
325.8357,58.20087,2.5,2.5,5,2.2865,2,103.75,3.05147
346.4789,78.84412,2.5,3,5.5,2.316154,2,78.02672,2.294904
153.6924,246.0576,2.5,3.5,6,2.327667,1,81.95243,2.410366
193.6067,285.9718,9.5,3.5,13,3.567243,1,12.26284,0.3606718
6.092258,98.45743,2,3.5,5.5,2.06875,2,96.97475,2.852198
148.6316,240.9968,1.5,4,5.5,2.04375,2,35.437,1.042265
344.4283,76.79343,3.5,4,7.5,2.567826,2,113.0648,3.325437
357.6465,90.01166,1.5,4,5.5,2.1825,2,139.0853,4.090743
342.9649,75.33008,1.5,4,5.5,2.292727,2,132.7242,3.903652
329.1814,61.54657,4,4.5,8.5,2.256667,2,95.84203,2.818883
87.15166,179.5168,2.5,5,7.5,2.12625,2,34.66195,1.019469
26.9389,119.3041,1.5,5,6.5,2.0725,2,41.23106,1.212678
330.1351,62.50027,4,5,9,2.255714,2,61.55091,1.810321
212.5645,304.9297,2,7.5,9.5,2.329091,1,34.57808,1.017002
340.8176,73.18277,4.5,7.5,12,2.346207,2,72.59038,2.135011
153.7193,246.0845,5,6.5,11.5,2.134725,1,67.25918,1.978211
155.149,247.5142,6.5,8,14.5,2.499675,1,45.70927,1.34439
348.003,80.36816,1.5,8.5,10,2.20625,2,119.4048,3.511907
285.7149,18.08005,2.5,9,11.5,2.782432,2,31.98955,0.9408691
346.6041,78.96924,2,9.5,11.5,2.181538,2,131.5652,3.869566
344.1047,76.46991,1.5,9.5,11,2.156,2,148.628,4.371412
5.747864,102.0472,13.5,0,13.5,3.346894,1,23.05833,0.6781862
275.5632,11.86252,2.5,1,3.5,2.177576,2,45.26221,1.331242
234.9669,331.2662,2,1,3,2.18725,2,47.99499,1.411617
222.3738,318.6731,11.5,1,12.5,3.010059,2,73.32423,2.156595
5.142746,101.4421,3.5,1.5,5,2.308889,3,66.70686,1.961966
292.4692,28.76859,4,1.5,5.5,2.564146,2,57.31448,1.68572
317.9377,54.23712,9,1.5,10.5,2.784713,3,86.84907,2.554384
228.7151,325.0145,1.5,2,3.5,2.441538,2,52.76113,1.551798
