Shear-Relative Angle,Low-Level Mean Flow-Relative Angle,Updraft Depth,Updraft Bottom Altitude,Updraft Top Altitude,Upraft Vertical Velocity,Circulation Classification,Updraft Radius,Updraft Normalized Radius
59.174261068024,-146.935486575079,12,0.5,12.5,2.4609878319833,1,292.853105297442,17.2266532527907
57.7562775942516,-148.353470048852,5,0.5,5.5,2.7063488398607,1,289.750214840606,17.0441302847415
47.1079017727307,-159.001845870373,1.5,0.5,2,1.29259705543518,1,263.593621120668,15.5055071247452
45.6701597500766,-160.439587893027,1.5,0.5,2,1.61673857106103,1,261.086505386966,15.3580297286451
50.4856934683179,-155.624054174786,3.5,0.5,4,2.36887033595595,1,265.560209224272,15.6211887778984
39.260759351891,-166.848988291212,4.5,0.5,5,2.366677117591,1,252.096789076938,14.8292228868787
43.4744053269348,-162.635342316169,4.5,0.5,5,2.60613260485909,1,254.82250260434,14.9895589767259
59.1718274417696,-146.937920201334,7.5,0.5,8,3.14746329861303,1,283.811315665176,16.6947832744221
61.2593349941402,-144.850412648963,2,0.5,2.5,2.05438684423765,1,292.040040885316,17.1788259344304
60.8258329214042,-145.283914721699,3,0.5,3.5,2.54968459107155,1,287.899671069258,16.9352747687799
31.6205496588877,-174.489197984216,6,0.5,6.5,2.81033151517523,1,236.140705711393,13.890629747729
12.2993890781026,166.189641434999,14.5,0.5,15,3.14403931077701,3,237.802196033371,13.9883644725513
7.1772188846233,161.06747124152,1.5,0.5,2,1.48454696416855,1,242.633038777421,14.2725316927895
45.0837570086486,-161.025990634455,4,0.5,4.5,2.13715821504593,1,242.596236323912,14.2703668425831
21.1460193945082,175.036271751405,7,0.5,7.5,3.05335666176299,1,232.432139629443,13.6724788017319
51.4465326750094,-154.663214968094,1.5,0.5,2,1.98144601451026,1,254.70120002697,14.9824235309982
64.8527901519971,-141.256957491106,2,0.5,2.5,1.41028165072203,1,288.691199350591,16.9818352559171
6.04566517763516,159.935917534532,2.5,0.5,3,1.68999783992767,1,239.130150103575,14.0664794178573
56.9990652134713,-149.110682429632,10,0.5,10.5,3.58254941721116,1,257.260248359445,15.1329557858497
10.8073114031939,164.69756376009,2.5,0.5,3,1.81041083291725,1,229.577965010907,13.5045861771122
9.61482364050778,163.505075997404,1.5,0.5,2,1.48265219728152,1,226.272351343451,13.3101383143207
67.6249900374323,-138.484757605671,13.5,0.5,14,3.91394339253505,3,286.333960435344,16.8431741432555
56.495215772519,-149.614531870584,4,0.5,4.5,1.85580415617336,1,249.618910060364,14.6834652976684
6.43109869347501,160.321351050372,2,0.5,2.5,1.31681199537383,1,231.212108626924,13.600712272172
65.9503459556015,-140.159401687502,1.5,0.5,2,1.52791755933028,1,280.724709805523,16.5132182238543
69.5475879339564,-136.562159709147,12.5,0.5,13,2.41571766957288,1,293.729902284598,17.2782295461528
8.8689519478246,162.759204304721,7,0.5,7.5,2.44774169634774,3,225.28927039191,13.2523100230535
72.3562512768399,-133.753496366264,1.5,0.5,2,2.00763816268821,1,307.515445199151,18.0891438352442
64.4096393365696,-141.700108306534,4,0.5,4.5,2.29690077337059,1,273.452677791979,16.0854516348223
54.7908354668281,-151.318912176275,2,0.5,2.5,2.24820086161296,1,243.107991428457,14.3004700840269
67.1221040113536,-138.98764363175,4.5,0.5,5,2.45554831746506,1,281.535916458996,16.5609362622939
69.9658528177122,-136.143894825391,2.5,0.5,3,2.25983078281085,1,290.773554796866,17.1043267527568
70.8888224398877,-135.220925203216,5,0.5,5.5,2.01431369713762,1,292.173640211928,17.1866847183487
4.10958273798016,157.999835094877,3.5,0.5,4,1.77988781945573,1,218.782515011231,12.869559706543
69.0684448099456,-137.041302833158,2.5,0.5,3,2.21969633148267,1,275.584755305276,16.2108679591339
69.4854565357572,-136.624291107346,3.5,0.5,4,1.80159782221977,1,263.990566576907,15.5288568574651
73.6306415278728,-132.479106115231,14.5,0.5,15,3.27518285437634,3,293.952477924328,17.2913222308428
73.9054357670932,-132.20431187601,4.5,0.5,5,2.51940218938722,1,286.342618271672,16.8436834277454
72.7405954247386,-133.369152218365,2,0.5,2.5,1.28141674399376,2,276.792260854033,16.281897697296
67.2539585625119,-138.855789080592,4,0.5,4.5,2.81487469002604,1,252.778406961699,14.8693180565705
44.2626430996935,-161.84710454341,6,0.5,6.5,2.13081756387001,1,197.203520948279,11.6002071146047
0.842720060488801,154.732972417385,15,0.5,15.5,3.00102389446771,3,217.748110391925,12.8087123759956
74.799877139532,-131.309870503571,2.5,0.5,3,2.4687171450683,4,284.808275383817,16.7534279637539
71.2227293700043,-134.887018273099,3.5,0.5,4,2.02150115641681,1,263.313382068927,15.4890224746428
357.330843902469,151.221096259365,7,0.5,7.5,2.23976985216141,3,208.376510350663,12.2574417853331
64.739718034447,-141.370029608656,11,0.5,11.5,2.32784420866327,1,234.780468888148,13.8106158169499
1.36789030729949,155.258142664196,2,0.5,2.5,2.40511322743965,1,202.206012548742,11.8944713263966
78.0637604186017,-128.045987224502,7,0.5,7.5,3.28229926938706,4,290.389680586016,17.0817459168245
65.0491627363858,-141.060584906718,1.5,0.5,2,1.23040839872862,1,229.700990199435,13.5118229529079
3.76094859454628,157.651200951443,1.5,0.5,2,1.34362455606461,1,191.204127059717,11.2473015917481
353.841226919449,147.731479276346,2,0.5,2.5,1.79638530078687,1,208.439246809696,12.2611321652763
16.95929894115,170.849551298047,1.5,0.5,2,1.58645710597436,1,176.996588582975,10.4115640342926
11.9225843908411,165.812836747738,3,0.5,3.5,1.51935092140647,1,179.075736048339,10.5338668263729
